,S&P500,WML,value_factor
2016-10-06,0.04815601994837626,0.25,-0.03
2016-10-07,-0.325348368171079,0.13,-0.56
2016-10-10,0.46059050981358446,-0.1,0.37
2016-10-11,-1.2446471763257407,-0.13,-1.09
2016-10-12,0.11465894253984957,0.49,0.22
2016-10-13,-0.3099263835091018,0.41,-0.11
2016-10-14,0.0201604178153628,-0.1,0.01
2016-10-17,-0.30379938212078617,0.36,-0.31
2016-10-18,0.6160403479896491,-0.1,0.35
2016-10-19,0.2191970828746938,-0.21,0.01
2016-10-20,-0.1375723874264593,-0.45,-0.35
2016-10-21,-0.008414170220300228,-0.18,-0.08
2016-10-24,0.47498395346381217,0.15,0.71
2016-10-25,-0.37977277794560177,0.34,-0.47
2016-10-26,-0.17404114266579604,-0.55,-0.31
2016-10-27,-0.2986726933387613,-0.31,-0.3
2016-10-28,-0.3108299365589125,0.35,-0.58
2016-10-31,-0.012227651805639516,0.52,-0.03
2016-11-01,-0.6786883176217423,-0.03,-0.77
2016-11-02,-0.6525500629458174,0.04,-0.36
2016-11-03,-0.44234006982948293,0.71,-0.56
2016-11-04,-0.16661305078948,-0.39,-0.24
2016-11-07,2.2223544015960695,-0.43,2.13
2016-11-08,0.3771974424148256,0.6,0.52
2016-11-09,1.1077020670818223,-1.83,1.01
2016-11-10,0.1950745624886813,-2.51,-0.1
2016-11-11,-0.139795016699532,-0.83,0.12
2016-11-14,-0.011550278623190026,-1.23,-0.25
2016-11-15,0.7480797692708188,1.09,0.59
2016-11-16,-0.15822638011099693,0.46,0.27
2016-11-17,0.46763697097329804,-0.42,0.5
2016-11-18,-0.23867984933359193,0.14,-0.15
2016-11-21,0.7461400949272281,0.57,0.84
2016-11-22,0.21654319242507222,0.13,0.59
2016-11-23,0.0808024752228094,-0.37,0.11
2016-11-25,0.39143869124048053,-0.13,0.43
2016-11-28,-0.5254535651865005,0.51,-0.46
2016-11-29,0.13352928795321764,0.08,0.16
2016-11-30,-0.26534038053485354,0.45,-0.9
